name,ring,quadrant,isNew,description
Content Security Policies,Assess,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Content_Security_Policy"">Content Security Policy</a></strong> to prevent <a href=""https://en.wikipedia.org/wiki/Cross-site_scripting"">cross-site scripting (XSS)</a>, <a href=""https://en.wikipedia.org/wiki/Clickjacking"">clickjacking</a> and other <a href=""https://en.wikipedia.org/wiki/Code_injection"">code injection</a> attacks in our trusted web pages.</p>"
Spring Eco-System,Adopt,Platforms,FALSE,"<p><strong><a href=""https://spring.io/projects/spring-framework"">Spring eco-system</a></strong> is our default preferred choice for developing cloud-native java-based enterprise applications. Its modular nature and support for diverse application infrastructure needs (via its sub-projects like <strong>Spring Boot, Spring Cloud</strong>, Spring Integration, Spring Security, Spring Session, Spring Scheduling, Spring Kafka, Spring Vault) makes it our preferred platform for developing cloud-native applications.</p>"
Quarkus,Trial,Platforms,FALSE,"<p><strong><a href=""https://quarkus.io/"">Quarkus</a></strong> with its amazingly fast boot time, incredibly low memory footprint and high density memory utilization in container orchestration platforms is a very attractive alternative for developing cloud-native java based enterprise applications.</p>"
Firebase Cloud Messaging (FCM),Adopt,Platforms,FALSE,"<p>With <strong><a href=""https://firebase.google.com/docs/cloud-messaging"">Firebase Cloud Messaging (FCM)</a></strong> we setup reliable and battery-efficient connection between our server and devices allowing us to deliver and receive messages/notifications on iOS, Android, and the web at no cost.</p>"
OpenTelemetry,Trial,Platforms,FALSE,"<p><strong><a href=""https://opentelemetry.io/"">OpenTelemetry</a></strong> is an open source observability project that merges <a href=""https://opentracing.io/"">OpenTracing</a> and <a href=""https://github.com/census-instrumentation"">OpenCensus</a>. The OpenTelemetry project includes <a href=""https://github.com/open-telemetry/opentelemetry-specification"">specification</a>, libraries, agents, and other components needed to capture telemetry from services to better observe, manage and debug them. It covers the three pillars of observability — distributed tracing, metrics and logging (currently in beta) — and its specification connects these three pieces through <a href=""https://github.com/open-telemetry/opentelemetry-specification/blob/master/specification/correlationcontext/api.md"">correlations</a>; thus you can use <em>metrics</em> to pinpoint a problem, locate the corresponding <em>traces</em> to discover where the problem occured, and ultimately study the corresponding <em>logs</em> to find the exact root cause. OpenTelemetry components can be connected to back-end observability systems such as <a href=""/radar/tools/prometheus"">Prometheus</a> and <a href=""/radar/tools/jaeger"">Jaeger</a> among <a href=""https://opentelemetry.io/registry/?s=exporter"">others</a>. Formation of OpenTracing is a positive step toward the convergence of standardization and the simplification of tooling.</p>"
OpenAPM,Trial,Platforms,FALSE,"<p><strong><a href=""https://openapm.io/"">OpenAPM</a></strong> is an open source initiative providing a great amount of diverse technologies, utilities and tools that excellently address different, partial aspects of Application Performance Management. Combining these aspects and strengths, the tools allows for building APM solutions that are tailored to our individual product needs.</p>"
Event Mesh,Trial,Platforms,FALSE,"<p><strong><a href=""https://solace.com/what-is-an-event-mesh/"">Event mesh</a></strong> is an architectural layer that routes events from producer to consumer no matter where our apps are deployed and is composed of a network of <a href=""https://solace.com/what-is-an-event-broker/"">event brokers</a>. As we are heavily moving towards modernizing our applications to be cloud-native in nature, we will require to support hybrid setup where modernized sub-systems are running in the cloud and classic applications continue to run in on-prem datacenters. Event mesh allows us to seemslesly connect these applications without being aware of their execution in different environment/datacenters. Usage of tools like <a href=""https://solace.com/"">Solace</a>, <a href=""https://kafka.apache.org/"">Apache Kafka</a> and/or <a href=""https://pulsar.apache.org/"">Apache Pulsar</a> bring us towards Hybrid/multi-cloud event distribution and management.</p>"
Node.js,Trial,Platforms,FALSE,"<p><strong><a href=""https://nodejs.org/en/"">Node.js</a></strong> being cross-platform, JavaScript runtime environment executing at back-end is an alternative for developing webserver based containerized enterprise applications.</p>"
PowerBI,Trial,Platforms,FALSE,"<p><strong><a href=""https://powerbi.microsoft.com/en-us/what-is-power-bi/"">PowerBI</a></strong> is one promising <a href=""https://www.gartner.com/en/information-technology/glossary/bi-platforms"">BI Platform</a></strong> providing us enriched reporting capabilities in satisfying our cusotmer requirements to move towards self-service reporting. </p>"
Tableau,Assess,Platforms,FALSE,"<p><strong><a href=""https://www.tableau.com/"">Tableau</a></strong> as a BI and Analytics leader provides built-in visual best practices,  limitless data exploration possibilities, actionable analytics. It is a promising choice for our centralized analytics platform.</p>"
Kubeedge,Assess,Platforms,FALSE,"<p><strong><a href=""https://kubeedge.io/en/"">Kubeedge</a></strong> is a promising platform we intend to assess and use in our journey to enable <a href=""https://en.wikipedia.org/wiki/Edge_computing"">Edge computing</a> in our applications.</p>"
OpenYurt,Assess,Platforms,FALSE,"<p><strong><a href=""https://openyurt.io/en-us/"">OpenYurt</a></strong> is a promising platform we intend to assess and use in our journey to enable <a href=""https://en.wikipedia.org/wiki/Edge_computing"">Edge computing</a> in our applications.</p>"
Tyk API platform,Assess,Platforms,FALSE,"<p><strong><a href=""https://tyk.io/"">Tyk</a></strong> as an API platform, is a set of tools to manage lifecycle of our application APIs (internal, partnet and even commercial public APIs).</p>"
JEE,Hold,Platforms,FALSE,"<p><strong><a href=""https://docs.oracle.com/javaee/7/index.html"">Java EE</a></strong> is used only for maintaining already existing multi-tiered enterprise application. New developments must avoid its usage.</p>"
Postgresql,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.postgresql.org/"">Postgresql</a></strong> is a powerful, open source object-relational database system with strong reputation for reliability, feature robustness, and performance. It is our preferred object relational datastore.</p>"
MariaDB,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.postgresql.org/"">MariaDB</a></strong> is one of the most popular open source relational databases and it is part of most cloud offerings. It is built upon the values of performance, stability, and openness. Recent new functionality includes advanced clustering with Galera Cluster 4, compatibility features with Oracle Database and Temporal Data Tables, allowing one to query the data as it stood at any point in the past.</p>"
Hazelcast,Adopt,Tools,FALSE,"<p><strong><a href=""https://github.com/hazelcast/hazelcast"">Hazelcast</a></strong> is an open source distributed in-memory data store, highly optimized and with low latencies used as a distributed cache in our event-driven and distributed services. With its simplicity to form cluster and ability to automatically replicate data across the cluster (adding seemless failure tolerance), it is our preferred choice.</p>"
Keycloak,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.keycloak.org/"">Keycloak</a></strong> is an open source Identity and Access Management (IAM) tool aimed at modern applications and services. It makes easy to secure applications and services with little code and has rich capabilities like Single-Sign On, Identity Brokering, Social Login and User Federation. It is based on standard protocols and provides support for OpenID Connect, OAuth 2.0, and SAML.</p>"
Apigee,Adopt,Tools,FALSE,"<p><strong><a href=""https://cloud.google.com/apigee"">Apigee</a></strong> is a platform for developing and managing APIs and provides an abstraction to our backend service APIs, security, rate limiting, quotas, analytics, monetization enabling us to move faster in our API-led innovations.</p>"
Kafka,Adopt,Tools,FALSE,"<p><strong><a href=""https://kafka.apache.org/"">Kafka</a></strong> our primary event streaming and message broker for event-driven applications.</p>"
Drools Business Rule Engine,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.drools.org/"">Drools</a></strong> is one of the most popular Business Rules Management Systems (BRMS) solution and its Business Rule Engine massively supports customizable legal regulations to be incorporated in our products.</p>"
Camunda BPMN Engine,Adopt,Tools,FALSE,"<p><strong><a href=""https://camunda.com/"">Camunda</a></strong>, an opensource workflow automation tool allows automating our business processes and achieve digital transformation. </p>"
SonarQube,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.sonarqube.org/"">SonarQube</a></strong> for continuous code inspection to enable code quality and security.</p>"
Checkmarx,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.checkmarx.com/"">Checkmarx</a></strong>to scans source code and identify security vulnerabilities within the code like SQL Injection, XSS etc.</p>"
MongoDB,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.mongodb.com/"">MongoDB</a></strong> is our default choice for document based distributed database.</p>"
Cassandra,Adopt,Tools,FALSE,"<p><strong><a href=""https://cassandra.apache.org/"">Cassandra</a></strong> is our default choice for distributed, wide column store.</p>"
HBase,Adopt,Tools,FALSE,"<p><strong><a href=""https://hbase.apache.org/"">HBase</a></strong> is our default choice for distributed, scalable big data store.</p>"
Neo4J,Adopt,Tools,FALSE,"<p><strong><a href=""https://neo4j.com/"">Neo4J</a></strong> is our default choice for distributed, scalable graph database.</p>"
Keda,Adopt,Tools,FALSE,"<p><strong><a href=""https://keda.sh/"">Keda</a></strong> is a promising component for enabling auto-scaling in our event-driven workloads running in <a href=""https://kubernetes.io/"">Kubernetes</a> environment.</p>"
Kaniko,Adopt,Tools,FALSE,"<p><strong><a href=""https://github.com/GoogleContainerTools/kaniko"">Kaniko</a></strong> is our preferred choice for building container images. It does not depend on <a href=""https://www.docker.com/"">Docker</a> daemon and creates container images in userspace.</p>"
Containerd,Adopt,Tools,FALSE,"<p>Being a <a href=""https://www.cncf.io/"">CNCF</a> graduated project, <strong><a href=""https://containerd.io/"">ContainerD</a></strong> is our preferred choice of container runtime.</p>"
CoreDNS,Adopt,Tools,FALSE,"<p><strong><a href=""https://coredns.io/"">CoreDNS</a></strong> is our prefered choice for DNS and Service Discovery when running applications in <a href=""https://kubernetes.io/"">Kubernetes</a> clusters.</p>"
JMeter,Adopt,Tools,FALSE,"<p><strong><a href=""https://jmeter.apache.org/"">JMeter</a></strong> is our designated service performance testing tool.</p>"
SoapUI,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.soapui.org/"">SoapUI</a></strong> is our preferred tool for automating API testing.</p>"
HAProxy,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.haproxy.com/"">HAProxy</a></strong> one of our preferred ApiGateway and Service Proxy.</p>"
SpringCloudGateway,Adopt,Tools,FALSE,"<p><strong><a href=""https://spring.io/projects/spring-cloud-gateway"">Spring Cloud Gateway</a></strong> one of our preferred ApiGateway when developing our applications with <a href=""https://spring.io/"">Spring eco-system.</a></p>"
OWASP Dependency-Check,Adopt,Tools,FALSE,"<p><strong><a href=""https://owasp.org/www-project-dependency-check/"">OWASP Dependency Check</a></strong> to detect publicly disclosed vulnerabilities contained in our application dependencies.</p>"
Mural,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.mural.co/"">MURAL</a></strong> is a ""digital workspace for visual collaboration"" and allows teams to interact with a shared workspace based on a whiteboard/sticky notes metaphor. Its features include voting, commenting, notes and ""follow the presenter."" We particularly like the template feature that allows a facilitator to design and then reuse guided sessions with a team.</p>"
Open Policy Agent (OPA),Trial,Tools,FALSE,"<p><strong><a href=""https://www.openpolicyagent.org/"">Open Policy Agent (OPA)</a></strong> has rapidly become a favorable component of many distributed cloud-native solutions that we build for our clients. OPA provides a uniform framework and <a href=""https://www.openpolicyagent.org/docs/latest/#rego"">language</a> for declaring, enforcing and controlling policies for various components of a cloud-native solution. It's a great example of a tool that implements <a href=""/radar/techniques/security-policy-as-code"">security policy as code</a>. We've had a smooth experience using OPA in multiple scenarios, including deploying resources to K8s clusters, enforcing access control across services in a <a href=""/radar/techniques/service-mesh"">service mesh</a> and fine-grained security controls as code for accessing application resources. A recent commercial offering, <a href=""https://www.styra.com/"">Styra's Declarative Authorization Service (DAS)</a>, eases the adoption of OPA for enterprises by adding a management tool, or control plane, to OPA for K8s with a prebuilt policy library, impact analysis of the policies and logging capabilities. We look forward to maturity and extension of OPA beyond operational services to (big) data-centric solutions.</p>"
Serverless Workflow,Trial,Tools,FALSE,"<p><strong><a href=""https://serverlessworkflow.github.io/"">Serverless Workflow</a></strong> defines a declarative and domain-specific workflow for orchestrating our event-driven and distributed services. </p>"
Okta,Trial,Tools,FALSE,"<p><strong><a href=""https://www.okta.com/"">Okta</a></strong> is an Identity and Access Management (IAM) tool providing capabilities to manage and secure user authentication in modern applications, and for developers to build identity controls into applications.</p>"
Auth0,Trial,Tools,FALSE,"<p><strong><a href=""https://auth0.com/"">Auth0</a></strong> is a flexible, drop-in solution to add authentication and authorization services to out applications. We believe it can assist in avoiding cost, time, and risk that comes with building own solution to authenticate and authorize users.</p>"
ADFS OIDC,Trial,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/windows-server/identity/ad-fs/ad-fs-overview"">AD FS</a></strong> enables Federated Identity and Access Management by securely sharing digital identity and entitlements rights across security and enterprise boundaries. AD FS extends the ability to use single sign-on functionality that is available within a single security or enterprise boundary to Internet-facing applications to enable customers, partners, and suppliers a streamlined user experience while accessing the web-based applications of an organization.</p>"
Spiffe,Trial,Tools,FALSE,"<p>As a <a href=""https://www.cncf.io/"">CNCF</a> incubating project, <strong><a href=""https://docs.microsoft.com/en-us/windows-server/identity/ad-fs/ad-fs-overview"">Spiffe</a></strong> is a universal identity control plane for distributed systems, supports securing microservice communications and authentication to common database.</p>"
Veracode,Trial,Tools,FALSE,"<p><strong><a href=""https://www.veracode.com/"">Veracode</a></strong> manages security risk across entire application portfolio including SAST, DAST, SCA, and manual penetration testing.</p>"
Solace,Trial,Tools,FALSE,"<p><strong><a href=""https://solace.com/"">Solace</a></strong> is a promising event mesh platform.</p>"
WebSocket,Trial,Tools,FALSE,"<p>We intend to introduce usage of <strong>Websocket</strong> for building interactive and responsive WebApps.</p>"
Podman,Trial,Tools,FALSE,"<p><strong><a href=""https://podman.io/"">Podman</a></strong> is a promising alternative, as being daemonless, to build/deploy/run application using <a href=""https://opencontainers.org/"">OCI</a> containers.</p>"
Consul,Trial,Tools,FALSE,"<p><strong><a href=""https://www.consul.io/"">Consul</a></strong> is interesting in area of providing Service Discovery for our micro-services running in a mix of <a href=""https://kubernetes.io/"">Kubernetes</a> cluster and VMs.</p>"
EnterpriseDB,Adopt,Tools,FALSE,"<p><strong><a href=""https://www.enterprisedb.com/"">EDB</a></strong> as an intermediate tool to migrate from OracleDB to PostgreSQL.</p>"
Hashicorp Sentinel,Assess,Tools,FALSE,"<p><strong><a href=""https://www.hashicorp.com/sentinel"">Hashicorp Sentinel</a></strong> as an embeddable policy as code framework to enable fine-grained, logic-based policy decisions is a promising tool we envison to assess and use.</p>"
JFrog Xray,Assess,Tools,FALSE,"<p><strong><a href=""https://jfrog.com/xray/"">JFrog Xray</a></strong> a multi-layer analysis tool for detecting vulnerabilities and license complaince issues in our software artifacts and containers.</p>"
Mashery,Assess,Tools,FALSE,"<p><strong><a href=""https://www.tibco.com/de/products/api-management"">Mashery</a></strong> delivers rich capabilities to our API Management requirements and we believe it will enable us towards API-led innovations, agility, new business models and setting up a digital business platform.</p>"
Nats,Assess,Tools,FALSE,"<p><strong><a href=""https://nats.io/"">Nats</a></strong> is high performance open source messaging system for cloud native, IoT and microservice applications.</p>"
Pulsar,Assess,Tools,FALSE,"<p><strong><a href=""https://pulsar.apache.org/"">Pulsar</a></strong> open source cloud-native, distributed messaging and streaming platform.</p>"
Couchbase,Assess,Tools,FALSE,"<p><strong><a href=""https://www.couchbase.com/"">Couchbase</a></strong> is an alternative key-value and document-oriented NoSQL database.</p>"
CouchDB,Assess,Tools,FALSE,"<p><strong><a href=""https://couchdb.apache.org/"">CouchDB</a></strong> is an alternative document-oriented NoSQL database.</p>"
Apiman,Assess,Tools,FALSE,"<p>Being an open source API Management toolset, <strong><a href=""https://www.apiman.io/latest/"">Apiman</a></strong> is a promising choice for publishing our APIs, enforcing thier usages, controlling access and monetization of commercial APIs.</p>"
TiKV,Assess,Tools,FALSE,"<p><strong><a href=""https://tikv.org/"">TiKV</a></strong> is a distributed transactional key-value database, a graduated CNCF project and a promising alternative to our NoSQL approach.</p>"
AppDynamics,Assess,Tools,FALSE,"<p><strong><a href=""https://www.appdynamics.com/"">AppDynamics</a></strong> has been around as market leader and we want to evaluate its use in our distributed applications.</p>"
DataDog,Assess,Tools,FALSE,"<p><strong><a href=""https://github.com/DataDog"">DataDog</a></strong> is another APM tool we want to evaluate its usage in our distributed applications.</p>"
InspectIT,Assess,Tools,FALSE,"<p><strong><a href=""https://github.com/inspectIT/inspectIT"">InspectIT</a></strong> is an open source APM tool and we want to evaluate its usage in our distributed applications.</p>"
Envoy,Assess,Tools,FALSE,"<p><strong><a href=""https://www.envoyproxy.io/"">Envoy</a></strong> is an interesting choice for us due to it being an edge proxy, service proxy as well as a communication bus designed for large microservice “service mesh” architectures.</p>"
Kong,Assess,Tools,FALSE,"<p><strong><a href=""https://github.com/Kong/kong"">Kong</a></strong> is an interesting choice as an ApiGateway / ApiMiddleware for our distributed microservice architectures.</p>"
Chaos Mesh,Assess,Tools,FALSE,"<p>Being a <a href=""https://www.cncf.io/"">CNCF</a> project, <strong><a href=""https://chaos-mesh.org/"">Chaos Mesh</a></strong> is a promising choice for enabling chaos engineering in our cloud-native products/projects.</p>"
Chaoskube,Assess,Tools,FALSE,"<p><strong><a href=""https://github.com/linki/chaoskube"">Chaoskube</a></strong> is another choice for <a href=""https://kubernetes.io/"">Kubernetes</a> environment where it kills pods randomly and at random times to test the recovery of our application.</p>"
Litmus Chaos,Assess,Tools,FALSE,"<p><strong><a href=""https://github.com/litmuschaos/litmus"">Litmus Chaos</a></strong> is a promising toolset to do cloud-native chaos engineering. Fixing found bugs/vulnerabilities will lead to increased resilience of our application and/or surrounding infrastructure.</p>"
Docker,Assess,Tools,FALSE,"<p><strong><a href=""https://www.docker.com/"">Docker</a></strong> is to be used only if a managed <a href=""https://kubernetes.io/"">Kubernetes</a> transparently uses it as container runtime.</p>"
Artemis,Assess,Tools,FALSE,"<p><strong><a href=""https://activemq.apache.org/"">Artemis</a></strong> as message broker for JMS, JNDI and as next generation of ActiveMQ.</p>"
DynamoDB,Hold,Tools,FALSE,"<p><strong><a href=""https://aws.amazon.com/dynamodb/"">DynamoDB</a></strong> due to it being Amazon proprietary NoSQL database, we currently prefer other open-source managed NoSQL stores.</p>"
ServiceMix,Hold,Tools,FALSE,"<p>Avoid using <strong><a href=""https://www.enterprisedb.com/"">ServiceMix</a></strong> whilst modernizing legacy applications towards cloud-native applications.</p>"
Oracle,Hold,Tools,FALSE,"<p>Usage of <strong><a href=""https://www.oracle.com/database/"">Oracle Database</a></strong> must be carefully evaluated in our new/modernized cloud-native applications due to its license model & high costs.</p>"
GraphQL,Hold,Tools,FALSE,"<p>As <strong><a href=""https://graphql.org/"">GraphQL</a></strong> operates on a single endpoint, defining route specific authorization, throttling, caching logic rules is quite impossible. We want to hold on using GraphQL as our ApiGateway solution.</a></p>"
Java,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Java_(programming_language)"">Java</a></strong> is a class-based, object-oriented programming language that is designed to have as few implementation dependencies as possible. It is a general-purpose programming language intended to let application developers write once, run anywhere meaning that compiled Java code can run on all platforms that support Java without the need for recompilation.</p>"
ReactJS,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/React_(web_framework)"">ReactJS</a></strong> is an open-source, front end, JavaScript library for building our user interfaces or UI components. It is used as a base in the development of single-page micro frontends or mobile applications.</p>"
Angular 9,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/AngularJS"">AngularJS</a></strong> is a JavaScript-based open-source front-end web framework used for developing our Web UIs.</p>"
React Hooks,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://reactjs.org/docs/hooks-intro.html"">React Hooks</a></strong> have introduced a new approach to managing stateful logic; given React components have always been closer to functions than classes, Hooks have embraced this and brought state to the functions, instead of taking function as methods to the state with classes. Based on our experience, Hooks improve reuse of functionality among components and code readability. Given Hooks’ testability improvements, using <a href=""https://reactjs.org/docs/test-renderer.html"">React Test Renderer</a> and <a href=""/radar/languages-and-frameworks/react-testing-library"">React Testing Library</a>, and their growing community support, we consider them our approach of choice.</p>"
Single SPA,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href="" https://single-spa.js.org/"">Single SPA</a></strong> is our preferred choice for developing micro-frontends.</p>"
Liquibase,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://www.liquibase.org/"">Liquibase</a></strong> for tracking, versioning and deploying database changes in an automated fashion and without manual interventions. Supports one of the most attractive feature, to roll changes back and forward from a specific point — saving our operations team from knowing what was the last change/script executed on a specific DB instance.</p>"
Atomikos,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://www.atomikos.com/"">Atomikos</a></strong> our light-weight distributed transaction management library in self-contained cloud native applications.</p>"
Protobuf,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Protocol_Buffers"">Protobuf</a></strong> our  language-neutral, platform-neutral, binary object serialization framework.</p>"
resilience4j,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/resilience4j/resilience4j"">resilience4j</a></strong> is our lightweight fault tolerance library for Java 8 programming language based sub-systems.</p>"
Quartz Scheduler,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""http://www.quartz-scheduler.org/"">Quartz</a></strong> is our preferred job scheduling framework for java based applications.</p>"
